predicted,actual,cancer_type
305.472015,384.619684,CO_CO23T
265.285980,384.619684,CO_CO23T
409.545990,384.619684,CO_CO23T
270.133972,384.619684,CO_CO23T
290.540009,384.619684,CO_CO23T
401.058014,384.619684,CO_CO23T
412.977966,384.619684,CO_CO23T
367.921997,384.619684,CO_CO23T
444.596985,384.619684,CO_CO23T
342.059998,384.619684,CO_CO23T
299.893005,384.619684,CO_CO23T
525.436035,384.619684,CO_CO23T
464.176025,384.619684,CO_CO23T
241.606003,384.619684,CO_CO23T
448.093994,384.619684,CO_CO23T
395.587982,384.619684,CO_CO23T
376.679993,384.619684,CO_CO23T
449.143982,384.619684,CO_CO23T
393.162018,384.619684,CO_CO23T
331.985992,384.619684,CO_CO23T
458.437988,384.619684,CO_CO23T
370.264008,384.619684,CO_CO23T
395.014984,384.619684,CO_CO23T
430.877014,384.619684,CO_CO23T
293.832001,384.619684,CO_CO23T
321.552002,384.619684,CO_CO23T
233.824020,384.619684,CO_CO23T
358.425995,384.619684,CO_CO23T
304.054993,384.619684,CO_CO23T
259.554993,384.619684,CO_CO23T
255.716019,384.619684,CO_CO23T
233.985992,384.619684,CO_CO23T
241.229004,384.619684,CO_CO23T
232.860672,384.619684,CO_CO23T
415.350983,384.619684,CO_CO23T
347.796967,384.619684,CO_CO23T
252.715988,384.619684,CO_CO23T
478.846008,384.619684,CO_CO23T
397.757324,384.619684,CO_CO23T
241.645996,384.619684,CO_CO23T
333.981995,384.619684,CO_CO23T
379.197998,384.619684,CO_CO23T
234.869339,384.619684,CO_CO23T
241.000031,384.619684,CO_CO23T
287.226013,384.619684,CO_CO23T
279.588013,384.619684,CO_CO23T
238.776001,384.619684,CO_CO23T
233.118011,384.619684,CO_CO23T
441.020020,384.619684,CO_CO23T
502.139008,384.619684,CO_CO23T
465.266022,384.619684,CO_CO23T
469.710022,384.619684,CO_CO23T
258.291992,384.619684,CO_CO23T
354.588013,384.619684,CO_CO23T
319.491028,384.619684,CO_CO23T
319.733002,384.619684,CO_CO23T
360.850006,384.619684,CO_CO23T
400.549988,384.619684,CO_CO23T
428.010010,384.619684,CO_CO23T
473.549988,384.619684,CO_CO23T
380.285980,384.619684,CO_CO23T
494.764984,384.619684,CO_CO23T
518.950012,384.619684,CO_CO23T
527.292969,384.619684,CO_CO23T
403.783997,384.619684,CO_CO23T
288.682007,384.619684,CO_CO23T
256.716980,384.619684,CO_CO23T
310.197998,384.619684,CO_CO23T
252.253006,384.619684,CO_CO23T
518.666992,384.619684,CO_CO23T
418.009033,384.619684,CO_CO23T
479.837006,384.619684,CO_CO23T
315.673004,384.619684,CO_CO23T
403.175995,384.619684,CO_CO5T
376.017029,384.619684,CO_CO5T
398.690002,384.619684,CO_CO5T
348.764008,384.619684,CO_CO5T
446.945984,384.619684,CO_CO5T
409.959656,384.619684,CO_CO5T
361.015991,384.619684,CO_CO5T
494.311676,384.619684,CO_CO5T
311.066650,384.619684,CO_CO5T
356.185974,384.619684,CO_CO5T
387.967010,384.619684,CO_CO5T
324.884674,384.619684,CO_CO5T
449.076996,384.619684,CO_CO5T
363.415344,384.619684,CO_CO5T
391.227997,384.619684,CO_CO5T
402.851990,384.619684,CO_CO5T
231.305008,384.619684,CO_CO5T
234.318024,384.619684,CO_CO5T
237.395996,384.619684,CO_CO5T
313.564026,384.619684,CO_CO5T
408.533997,384.619684,CO_CO5T
325.172028,384.619684,CO_CO5T
493.834045,384.619684,CO_CO5T
321.578003,384.619684,CO_CO5T
427.788025,384.619684,CO_CO5T
498.162018,384.619684,CO_CO5T
250.000000,384.619684,CO_CO5T
240.184006,384.619684,CO_CO5T
343.115997,384.619684,CO_CO5T
299.505981,384.619684,CO_CO5T
348.273987,384.619684,CO_CO5T
284.713989,384.619684,CO_CO5T
255.921997,384.619684,CO_CO5T
252.160004,384.619684,CO_CO5T
264.888000,384.619684,CO_CO5T
314.000031,384.619684,CO_CO5T
298.085999,384.619684,CO_CO5T
302.393982,384.619684,CO_CO5T
272.364014,384.619684,CO_CO5T
417.652039,384.619684,CO_CO5T
330.458008,384.619684,CO_CO5T
476.309998,384.619684,CO_CO5T
522.979980,384.619684,CO_CO5T
501.610016,384.619684,CO_CO5T
280.386017,384.619684,CO_CO5T
309.772003,384.619684,CO_CO5T
232.972992,384.619684,CO_CO5T
281.664001,384.619684,CO_CO5T
271.788513,384.619684,CO_CO5T
268.126312,384.619684,CO_CO5T
396.466980,384.619684,CO_CO5T
333.589996,384.619684,CO_CO5T
407.888977,384.619684,CO_CO5T
316.403992,384.619684,CO_CO5T
232.580002,384.619684,CO_CO5T
291.272003,384.619684,CO_CO5T
358.462006,384.619684,CO_CO5T
252.108002,384.619684,CO_CO5T
257.744019,384.619684,CO_CO5T
240.556000,384.619684,CO_CO5T
248.160004,384.619684,CO_CO5T
359.014008,384.619684,CO_CO5T
268.213989,384.619684,CO_CO5T
402.862000,384.619684,CO_CO5T
341.935974,384.619684,CO_CO5T
245.160980,384.619684,CO_CO5T
504.243011,384.619684,CO_CO5T
286.113007,384.619684,CO_CO5T
