predicted,actual,cancer_type
338.798004,400.483185,LU_A_LU_A17T
370.376007,400.483185,LU_A_LU_A17T
491.043304,400.483185,LU_A_LU_A17T
463.089355,400.483185,LU_A_LU_A17T
402.168030,400.483185,LU_A_LU_A17T
418.474030,400.483185,LU_A_LU_A17T
484.208008,400.483185,LU_A_LU_A17T
336.197998,400.483185,LU_A_LU_A17T
414.345032,400.483185,LU_A_LU_A17T
313.091003,400.483185,LU_A_LU_A17T
338.846985,400.483185,LU_A_LU_A17T
415.287018,400.483185,LU_A_LU_A17T
263.600006,400.483185,LU_A_LU_A17T
327.450989,400.483185,LU_A_LU_A17T
528.826965,400.483185,LU_A_LU_A17T
375.854004,400.483185,LU_A_LU_A17T
465.596985,400.483185,LU_A_LU_A17T
455.218994,400.483185,LU_A_LU_A17T
270.864014,400.483185,LU_A_LU_A17T
269.804016,400.483185,LU_A_LU_A17T
372.091980,400.483185,LU_A_LU_A17T
312.772003,400.483185,LU_A_LU_A17T
359.386017,400.483185,LU_A_LU_A17T
303.854004,400.483185,LU_A_LU_A17T
257.285980,400.483185,LU_A_LU_A17T
541.257935,400.483185,LU_A_LU_A17T
415.085022,400.483185,LU_A_LU_A17T
430.946045,400.483185,LU_A_LU_A17T
504.244965,400.483185,LU_A_LU_A17T
542.048950,400.483185,LU_A_LU_A17T
349.752991,400.483185,LU_A_LU_A17T
428.641998,400.483185,LU_A_LU_A17T
452.042969,400.483185,LU_A_LU_A17T
490.562012,400.483185,LU_A_LU_A17T
262.924988,400.483185,LU_A_LU_A17T
283.889984,400.483185,LU_A_LU_A17T
269.172028,400.483185,LU_A_LU_A17T
285.559998,400.483185,LU_A_LU_A17T
505.092041,400.483185,LU_A_LU_A17T
517.564026,400.483185,LU_A_LU_A17T
246.416672,400.483185,LU_A_LU_A17T
361.200653,400.483185,LU_A_LU_A17T
503.586029,400.483185,LU_A_LU_A17T
416.756012,400.483185,LU_S_LU_S25T
315.582001,400.483185,LU_S_LU_S25T
314.565002,400.483185,LU_S_LU_S25T
398.560974,400.483185,LU_S_LU_S25T
279.062012,400.483185,LU_S_LU_S25T
395.837982,400.483185,LU_S_LU_S25T
343.284973,400.483185,LU_S_LU_S25T
253.423996,400.483185,LU_S_LU_S25T
356.431976,400.483185,LU_S_LU_S25T
416.722992,400.483185,LU_S_LU_S25T
385.271332,400.483185,LU_S_LU_S25T
342.468994,400.483185,LU_S_LU_S25T
429.018982,400.483185,LU_S_LU_S25T
440.785004,400.483185,LU_S_LU_S25T
355.974030,400.483185,LU_S_LU_S25T
558.155029,400.483185,LU_S_LU_S25T
498.356018,400.483185,LU_S_LU_S25T
340.926025,400.483185,LU_S_LU_S25T
265.880005,400.483185,LU_S_LU_S25T
249.850006,400.483185,LU_S_LU_S25T
315.450012,400.483185,LU_S_LU_S25T
294.927979,400.483185,LU_S_LU_S25T
327.976013,400.483185,LU_S_LU_S25T
393.183990,400.483185,LU_S_LU_S25T
294.339996,400.483185,LU_S_LU_S25T
448.195984,400.483185,LU_S_LU_S25T
526.880005,400.483185,LU_S_LU_S25T
531.304993,400.483185,LU_S_LU_S25T
268.799988,400.483185,LU_S_LU_S25T
260.899017,400.483185,LU_S_LU_S25T
251.328003,400.483185,LU_S_LU_S25T
252.834015,400.483185,LU_S_LU_S25T
392.757996,400.483185,LU_S_LU_S25T
469.998627,400.483185,LU_S_LU_S25T
280.898651,400.483185,LU_S_LU_S25T
424.951996,400.483185,LU_S_LU_S25T
477.668640,400.483185,LU_S_LU_S25T
345.614655,400.483185,LU_S_LU_S25T
522.255981,400.483185,LU_S_LU_S25T
507.700043,400.483185,LU_S_LU_S25T
246.047028,400.483185,LU_S_LU_S25T
458.064026,400.483185,LU_S_LU_S25T
297.518982,400.483185,LU_S_LU_S25T
383.578003,400.483185,LU_S_LU_S25T
280.799988,400.483185,LU_S_LU_S25T
350.858978,400.483185,LU_S_LU_S25T
281.274017,400.483185,LU_S_LU_S25T
264.260010,400.483185,LU_S_LU_S25T
311.958984,400.483185,LU_S_LU_S25T
